"Station Number","DWR Regional Office*","Name","County","lat","lng","Elevation","Status","Connect Date","Disconnect Date"
201,"SRO","UC-Andrade","Imperial",32.674353,-115.044381,120,"Inactive","1/1/2006","10/1/2015"
202,"SRO","Nipomo","San Luis Obispo",35.028281,-120.560033,255,"Active","6/27/2006","Active"
203,"SCRO","Alpaugh","Tulare",35.862569,-119.5037,210,"Active","7/11/2006","11/16/2017"
204,"SRO","Santa Clarita","Los Angeles",34.426361,-118.517583,1410,"Active","12/4/2006","Active"
205,"SCRO","Coalinga","Fresno",36.175833000000004,-120.36027,730,"Active","3/25/2010","Active"
206,"SCRO","Denair II","Stanislaus",37.545869,-120.754531,150,"Active","4/9/2009","Active"
207,"SRO","Borrego Springs ","San Diego",33.268446999999995,-116.36505,578,"Active","1/4/2008","Active"
208,"SRO","La Quinta II","Riverside",33.678151,-116.272921,36,"Active","2/6/2007","Active"
209,"SCRO","Watsonville West II","Santa Cruz",36.913166,-121.823497,305,"Active","6/13/2007","Active"
210,"SCRO","Carmel","Monterey",36.540942,-121.88209599999999,75,"Active","7/22/2008","Active"
211,"SCRO","Gilroy","Santa Clara",37.015026,-121.537043,185,"Active","9/1/2009","Active"
212,"NCRO","Hastings Tract East","Solano",38.277972,-121.74098899999998,7,"Active","10/20/2009","Active"
213,"NCRO","El Cerrito","Contra Costa",37.931546999999995,-122.302714,596,"Active","9/24/2013","Active"
214,"SCRO","Salinas South II","Monterey",36.625626000000004,-121.53788700000001,153,"Active","5/17/2013","Active"
215,"SRO","Chatsworth","Los Angeles",34.291331,-118.570044,1536,"Active","9/6/2011","Active"
216,"SRO","Arleta","Los Angeles",34.25615,-118.38290500000001,980,"Active","9/8/2011","Active"
217,"SRO","Moorpark","Ventura",34.269031,-118.849319,718,"Active","7/3/2014","Active"
218,"SRO","Thermal South","Riverside",33.595735999999995,-116.15876100000001,-146,"Active","1/30/2010","Active"
219,"SRO","West Hills","Los Angeles",34.214197,-118.644769,926,"Active","9/6/2011","Active"
220,"SRO","Palmdale Central","Los Angeles",34.59231,-118.12746399999999,2630,"Active","3/23/2011","Active"
221,"SRO","Cadiz Valley","San Bernardino",34.513611,-115.51055600000001,797,"Active","11/1/2010","Active"
222,"NRO","Gerber South","Tehama",40.028778,-122.15575,246,"Active","8/13/2014","Active"
223,"SRO","North Hollywood","Los Angeles",34.142911,-118.36632,570,"Inactive","1/30/2018","Active"
224,"NRO","Shasta College","Shasta",40.625499,-122.31088700000001,592,"Active","1/1/2013","Active"
225,"NRO","Scott Valley","Siskiyou",41.577778,-122.838125,2733,"Active","4/1/2015","Active"
226,"NCRO","Woodland","Yolo",38.672722,-121.811722,82,"Active","5/12/2011","Active"
227,"NCRO","Plymouth","Amador",38.508333,-120.79972,1520,"Active","11/1/2010","Active"
228,"NCRO","Diamond Springs","El Dorado",38.636111,-120.793056,2050,"Active","9/29/2010","Active"
229,"SCRO","Laguna Seca","Monterey",36.570101,-121.78649899999999,320,"Active","10/24/2011","Active"
230,"SRO","Santa Barbara II","Santa Barbara",34.405556,-119.715,440,"Inactive","1/10/2011","1/23/2018"
231,"SRO","Lompoc","Santa Barbara",34.672222,-120.513056,55,"Active","7/14/2010","Active"
232,"SRO","Santa Maria II","Santa Barbara",34.913472,-120.46477800000001,215,"Active","4/1/2011","Active"
233,"SRO","Joshua Tree ","San Bernardino",34.138104,-116.213508,2479,"Active","12/1/2011","Active"
234,"SRO","Newberry Springs II","San Bernardino",34.883472,-116.810247,1930,"Active","2/25/2015","Active"
235,"NCRO","Verona","Sutter",38.797944,-121.61136100000002,24,"Active","5/18/2012","Active"
236,"NRO","Macdoel II","Siskiyou",41.802476,-121.996159,4265,"Active","4/16/2015","Active"
237,"SRO","Temecula East III","Riverside",33.55281,-117.043302,1530,"Active","11/1/2012","Active"
238,"SRO","Moreno Valley","Riverside",33.899914,-117.171325,1604,"Active","4/19/2013","Active"
239,"SRO","Hemet","Riverside",33.664747,-116.95512099999999,1768,"Active","1/22/2015","Active"
240,"SRO","Perris - Menifee","Riverside",33.756308000000004,-117.197142,1421,"Active","5/25/2013","Active"
241,"SRO","San Clemente","Orange",33.462405,-117.586497,224,"Active","7/28/2015","Active"
242,"NCRO","Staten Island","San Joaquin",38.192386,-121.51033899999999,-10,"Active","11/5/2015","Active"
243,"NCRO","Ryde","Sacramento",38.249621999999995,-121.55552800000001,-10,"Active","12/16/2015","Active"
244,"NRO","Biggs","Butte",39.386632,-121.83526299999998,72,"Active","6/18/2015","Active"
245,"SRO","Coto de Caza","Orange",33.621666999999995,-117.585278,846,"Active","10/7/2015","Active"
246,"NCRO","Markleeville","Alpine",38.773409,-119.79193000000001,5517,"Active","6/13/2014","Active"
247,"NCRO","Jersey Island","Contra Costa",38.033386,-121.701247,-12,"Active","7/1/2016","Active"
248,"NCRO","Holt","San Joaquin",37.932179999999995,-121.397461,-3,"Active","7/1/2016","Active"
249,"NCRO","Ripon","San Joaquin",37.755596999999995,-121.266153,20,"Active","7/1/2016","Active"
250,"NRO","Williams","Colusa",39.210667,-122.168889,69,"Active","8/9/2016","Active"
251,"SRO","Highland","San Bernardino",34.112041999999995,-117.1857,1275,"Active","10/10/2016","Active"
252,"SCRO","Soledad II","Monterey",36.456728000000005,-121.344388,214,"Active","9/3/2016","Active"
253,"NCRO","Pescadero","San Mateo",37.255333,-122.3708,47,"Active","8/24/2017","Active"
254,"NCRO","Oakland Metro","Alameda",37.718167,-122.197111,14,"Active","3/12/2018","Active"
255,"SRO","Chino","San Bernardino",33.98535,-117.65652800000001,637,"Active","3/8/2018","Active"
